Run,True_eA,True_eB,True_eC,True_k1,True_k2,True_xA,True_xB,True_xC,Est_eA,Est_eB,Est_eC,Est_k1,Est_k2,Est_xA,Est_xB,Est_xC,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
9,0.212,0.339,0.282,0.48,0.756,0.221,0.364,0.751,0.212,0.3389999993128575,0.282,0.48000000011314287,0.755999995916352,0.22099999803398157,0.36400000196768273,0.7509999999998055,1.1313416981550252e-09,2.745790746524076e-09,8.896011001753121e-09,1.764162364929022e-09,True
3,0.459,0.213,0.554,0.717,0.689,0.793,0.453,0.489,0.45900000000002994,0.21300000003901082,0.5539999999999958,0.7170000001188497,0.6889999998904289,0.792999999928304,0.45300000007126856,0.4890000000002756,1.2386846249598035e-10,9.453893898715671e-11,1.8314940070539644e-10,6.880454013206186e-11,True
2,0.736,0.682,0.376,0.832,0.685,0.332,0.562,0.723,0.7359999999999955,0.6820000000022068,0.375999999999955,0.8320000000481946,0.6849999999720311,0.3319999999778806,0.5620000000221314,0.723000000000101,2.130764728805747e-11,2.6032804493058798e-11,6.662475123137603e-11,2.2607891636934643e-11,True
4,0.749,0.793,0.379,0.597,0.499,0.602,0.421,0.433,0.749,0.7929999999964736,0.379,0.597000000039284,0.4989999999731507,0.6019999999791312,0.4210000000214746,0.4330000000001113,1.9556305921954784e-11,2.624834988557053e-11,6.580237936521621e-11,1.991616904519236e-11,True
7,0.544,0.626,0.761,0.706,0.352,0.514,0.488,0.821,0.5439999999999835,0.6260000000035225,0.7610000000000035,0.705999999971741,0.35200000000798876,0.5140000000081688,0.48799999999022575,0.8209999999999361,1.075981337319934e-11,1.3047964745754233e-11,4.0026842400841303e-11,1.1385661517905236e-11,True
6,0.394,0.884,0.374,0.82,0.146,0.177,0.791,0.553,0.394,0.8839999999923278,0.374,0.8200000000194019,0.1459999999985196,0.17699999999719548,0.7910000000080263,0.5529999999999798,9.409337552175973e-12,8.563466135099088e-12,2.366088355053884e-11,7.982599412039451e-12,True
5,0.24,0.801,0.193,0.269,0.148,0.835,0.196,0.368,0.24,0.8010000000112167,0.193,0.26899999999648194,0.14800000000202915,0.8349999999963185,0.19599999999844134,0.3679999999999208,6.180689370355965e-12,6.67110597274014e-12,1.40033635956185e-11,4.44828216118253e-12,True
8,0.366,0.718,0.18,0.68,0.131,0.273,0.823,0.134,0.366,0.7180000000018018,0.18,0.6799999999962717,0.1310000000003935,0.27300000000072205,0.8229999999975833,0.1339999999999989,2.577127866065603e-12,2.07318929445681e-12,5.4828690607297066e-12,1.7198563984721054e-12,True
10,0.682,0.416,0.752,0.155,0.665,0.349,0.675,0.369,0.6819999999999999,0.4159999999999164,0.752,0.15500000000021577,0.6649999999998262,0.3490000000000487,0.6750000000000193,0.36900000000002803,1.0781162068534338e-13,2.6234038719493736e-13,1.3920764182961236e-12,1.0446547152272569e-13,True
1,0.446,0.526,0.386,0.819,0.248,0.361,0.353,0.458,0.4459999999999998,0.5260000000000974,0.3860000000000002,0.8190000000000193,0.24800000000000033,0.3609999999998151,0.35300000000008613,0.4579999999999969,1.51872727523623e-14,1.217530346519877e-13,5.122095422474233e-13,8.021573118440573e-14,True
